,medline,pubmed,doi,rid,eid,pmc,pmcid,pii,mid
153,[],['29529262'],10.1093/nar/gky142,29529262,29529262,PMC5934665,pmc-id: PMC5934665;,4909994,
154,[],['29529262'],10.1093/nar/gky142,29529262,29529262,PMC5934665,pmc-id: PMC5934665;,4909994,
155,[],['27135738'],10.1038/nm.4092,27135738,27135738,PMC4899144,pmc-id: PMC4899144;manuscript-id: NIHMS773752;,nm.4092,NIHMS773752
156,[],['31163399'],10.1530/REP-18-0509,31163399,31163399,PMC6885113,pmc-id: PMC6885113;manuscript-id: NIHMS1531481;,REP-18-0509.R1,NIHMS1531481
157,[],['30458881'],10.1186/s12964-018-0298-y,30458881,30458881,PMC6245637,pmc-id: PMC6245637;,10.1186/s12964-018-0298-y,
158,[],['27334614'],10.15252/embj.201593084,27334614,27334614,PMC4969577,pmc-id: PMC4969577;,embj.201593084,
159,[],['30664680'],10.1038/s41596-018-0104-8,30664680,30664680,PMC6531049,pmc-id: PMC6531049;manuscript-id: NIHMS1022418;,10.1038/s41596-018-0104-8,NIHMS1022418
160,[],['25669970'],10.18632/oncotarget.3207,25669970,25669970,PMC4413656,pmc-id: PMC4413656;,3207,
161,[],['27548914'],10.1038/ncb3400,27548914,27548914,PMC5870829,pmc-id: PMC5870829;manuscript-id: EMS76600;,ncb3400,EMS76600
162,[],['24636259'],10.1016/j.devcel.2014.01.032,24636259,24636259,,,S1534-5807(14)00073-2,
163,[],['27346580'],10.1038/srep28633,27346580,27346580,PMC4922021,pmc-id: PMC4922021;,srep28633,
164,[],['27833533'],10.3389/fnana.2016.00086,27833533,27833533,PMC5080337,pmc-id: PMC5080337;,,
165,[],['29165655'],10.1093/nar/gkx1158,29165655,29165655,PMC5753389,pmc-id: PMC5753389;,4641906,
166,[],['26990663'],10.1038/cdd.2016.3,26990663,26990663,PMC4987736,pmc-id: PMC4987736;,cdd20163,
167,[],['27690130'],10.1371/journal.pone.0162984,27690130,27690130,PMC5045195,pmc-id: PMC5045195;,PONE-D-16-01700,
168,[],['26028217'],10.1016/j.devcel.2015.04.024,26028217,26028217,,,S1534-5807(15)00288-9,
169,[],['30530468'],10.15252/emmm.201809456,30530468,30530468,PMC6328925,pmc-id: PMC6328925;,emmm.201809456,
170,[],['30713794'],10.1080/2162402X.2018.1537691,30713794,30713794,PMC6343793,pmc-id: PMC6343793;,1537691,
171,[],['26748418'],10.1016/j.stem.2015.12.003,26748418,26748418,,,S1934-5909(15)00548-2,
172,[],['29483921'],10.3389/fpls.2018.00005,29483921,29483921,PMC5816337,pmc-id: PMC5816337;,,
173,[],['30348666'],10.1128/AAC.00995-18,30348666,30348666,PMC6325195,pmc-id: PMC6325195;,AAC.00995-18,
174,[],['27174990'],10.1126/science.aac7272,27174990,27174990,PMC4928577,pmc-id: PMC4928577;manuscript-id: NIHMS797175;,352/6287/844,NIHMS797175
175,[],['31510649'],10.1093/bioinformatics/btz351,31510649,31510649,PMC6612833,pmc-id: PMC6612833;,5529127,
176,[],['27226436'],10.1182/blood-2015-11-683847,27226436,27226436,PMC4965906,pmc-id: PMC4965906;,blood-2015-11-683847,
177,[],['27487209'],10.1038/nature19075,27487209,27487209,PMC4988886,pmc-id: PMC4988886;manuscript-id: NIHMS800483;,nature19075,NIHMS800483
178,[],['29149845'],10.1186/s12864-017-4264-7,29149845,29149845,PMC5693578,pmc-id: PMC5693578;,10.1186/s12864-017-4264-7,
179,[],['29416069'],10.1038/s41467-018-02894-w,29416069,29416069,PMC5803260,pmc-id: PMC5803260;,10.1038/s41467-018-02894-w,
180,[],['29440250'],10.1128/JB.00707-17,29440250,29440250,PMC5892110,pmc-id: PMC5892110;,JB.00707-17,
181,[],['29500295'],10.1158/2159-8290.CD-17-0533,29500295,29500295,PMC5935231,pmc-id: PMC5935231;manuscript-id: EMS76450;,2159-8290.CD-17-0533,EMS76450
182,[],['28504653'],10.1172/JCI89914,28504653,28504653,PMC5451224,pmc-id: PMC5451224;,89914,
183,[],['28431017'],10.1093/dnares/dsx008,28431017,28431017,PMC5397605,pmc-id: PMC5397605;,3744603,
184,[],['27091409'],10.1158/1078-0432.CCR-16-0323,27091409,27091409,PMC5026546,pmc-id: PMC5026546;manuscript-id: NIHMS780165;,1078-0432.CCR-16-0323,NIHMS780165
185,[],['27707796'],10.1242/dev.139261,27707796,27707796,PMC5117216,pmc-id: PMC5117216;,dev.139261,
186,[],['25359493'],10.1096/fj.14-261404,25359493,25359493,,,fj.14-261404,
187,[],['27898690'],10.1371/journal.pone.0166784,27898690,27898690,PMC5127656,pmc-id: PMC5127656;,PONE-D-16-29082,
188,[],['27239027'],10.1016/j.celrep.2016.05.016,27239027,27239027,,,S2211-1247(16)30584-8,
189,[],['30179226'],10.1172/JCI96138,30179226,30179226,PMC6160001,pmc-id: PMC6160001;,96138,
190,[],['26951930'],10.1158/0008-5472.CAN-15-2157,26951930,26951930,,,0008-5472.CAN-15-2157,
191,[],['29500295'],10.1158/2159-8290.CD-17-0533,29500295,29500295,PMC5935231,pmc-id: PMC5935231;manuscript-id: EMS76450;,2159-8290.CD-17-0533,EMS76450
192,[],['25720405'],10.3233/JAD-143030,25720405,25720405,PMC4878308,pmc-id: PMC4878308;,RKTP008537442446,
193,[],['29472496'],10.1084/jem.20170518,29472496,29472496,PMC5881462,pmc-id: PMC5881462;,jem.20170518,
194,[],['27123847'],10.1371/journal.pone.0154544,27123847,27123847,PMC4849794,pmc-id: PMC4849794;,PONE-D-16-05185,
195,[],['27090007'],10.1038/ncomms11263,27090007,27090007,PMC4838899,pmc-id: PMC4838899;,ncomms11263,
196,[],['27461218'],10.1186/s12885-016-2600-y,27461218,27461218,PMC4962454,pmc-id: PMC4962454;,10.1186/s12885-016-2600-y,
197,[],['27348429'],10.1021/acs.est.6b02205,27348429,27348429,,,,
198,[],['29228038'],10.1371/journal.pone.0189445,29228038,29228038,PMC5724892,pmc-id: PMC5724892;,PONE-D-17-31232,
199,[],['29922297'],10.3389/fimmu.2018.01286,29922297,29922297,PMC5996037,pmc-id: PMC5996037;,,
200,[],['27485166'],10.1038/srep30664,27485166,27485166,PMC4971482,pmc-id: PMC4971482;,srep30664,
201,[],['26728635'],10.1186/s12864-015-2330-6,26728635,26728635,PMC4700669,pmc-id: PMC4700669;,10.1186/s12864-015-2330-6,
202,[],['27648579'],10.7554/eLife.17903,27648579,27648579,PMC5030085,pmc-id: PMC5030085;,,
203,[],['30670740'],10.1038/s41598-018-37591-7,30670740,30670740,PMC6342942,pmc-id: PMC6342942;,10.1038/s41598-018-37591-7,
204,[],['27007052'],10.18632/oncotarget.8199,27007052,27007052,PMC5041898,pmc-id: PMC5041898;,8199,
205,[],['26373670'],10.1111/1462-2920.13054,26373670,26373670,,,,
206,[],['29339786'],10.1038/s41598-018-19341-x,29339786,29339786,PMC5770416,pmc-id: PMC5770416;,10.1038/s41598-018-19341-x,
207,[],['29165655'],10.1093/nar/gkx1158,29165655,29165655,PMC5753389,pmc-id: PMC5753389;,4641906,
208,[],['30722062'],10.1093/ntr/ntz013,30722062,30722062,PMC7164581,pmc-id: PMC7164581;,5306962,
209,[],['28512198'],10.1242/dev.147900,28512198,28512198,,,144/10/1863,
210,[],['28852586'],10.7717/peerj.3631,28852586,28852586,PMC5572537,pmc-id: PMC5572537;,3631,
